G1,G2,G3,G4,G5,G7,G9,G10,G11,G12,G15,G16,G22,G23,G24,G30,G31,G32,G33,G34,G35,G36,G37,G38,G39,G40,G41,G42,G43,G44,G45,G46,G47,G48,G49,G50,G51,G52,G53,G54,G55,G56,G57,G58,G59,G60,G61,G62,G63,G64,G65,G66,G67,G68,G69,G70,G71,G72,G73,G74,G75,G76,G77,G78,G79,G80,G81,G82,G83,G84,G85,G86,G87,G88,G89,G90,G91,G92,G93,G94,G95,G96,G97,G98,G99,G100,G101,G102,G103,G104,G105,G106,G107,G112,G113,G114,G115,G120,G121,G122,G123,G128,G129,G130,G131,G136,G137,G138,G139,G140,G141,G142,G143,G144,G145,G146,G147,G148,G149,G150,G151,G152,G153,G154,G155,G156,G157,G158,G159,G160,G161,G162,G163,G164,G165,G166,G167,G168,G169,G170,G171,G172,G173,G174,G175,G176,G177,G178,G179,G180,G181,G182,G183,G184,G185,G186,G188,G191,G206,G210,G211,G212,G213,G214,G215,G216,G217,G218,G219,G220,G221,G222,G223,G227,G228,G231,G232,G233,G234,G235,G236,G237,G238,G239,G240,G241,G242,G243,G244,G245,G246,G247,G251,G252,G256,G257,G258,G259,G260,G261,G262,G263,G264,G265,G266,G267,G268,P
Batumarmar,Pangereman,"7,20","7,42",36,1.0,20,20,20,20,0.0,7,7.0,1.0,9.0,2.4539999999999997,2.468,3.931,,5.374,1.692,"746,4","3,2",449.0,351.0,316.0,446.0,616.0,498.0,390.0,427.0,343.0,383.0,283,274,276,322,5.374,2.683,2.691,5.374,"99,7",220.0,272.5,264.5,211.0,266.5,259.5,,,269.0,252.0,485.5,3,0,3,0,6,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,3,3,3,3.0,16.0,27.0,262.0,1.0,6.0,4.0,66.0,1.0,2.0,4.0,26.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,17.5,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2,,x,x,682.0,55,737.0,"92,54",208,429.0,637.0,"32,65", -,0.0,0.0,208.0,208.0,417.0,429.0,51,8,59,2.011,0,0,2.011,0,0,0,0,0,8,0,2,0,0,,1,,2,2,3,1,4,4,0,0,0,0,0,0,0,"  90,13 "
Batumarmar,Bujur Barat,"14,59","15,03",33,1.0,20,20,20,20,1.0,10,10.0,1.0,11.0,2.4539999999999997,2.468,3.931,,11.213,2.142,"768,5","5,2",861.0,806.0,924.0,1.119,1.195,1.115,1.005,820.0,705.0,726.0,515,554,413,455,11.213,5.574,5.639,11.213,"98,8",220.0,272.5,264.5,211.0,266.5,259.5,,,269.0,252.0,485.5,2,0,2,0,8,8,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2.0,13.0,15.0,381.0,1.0,3.0,8.0,74.0,1.0,3.0,7.5,53.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,17.5,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,4,4,1,4,4,1,4,4,4,4,4,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2,,x,x,1.41,74,1.484,"95,01",401,1.083,1.484,"27,02", -,0.0,0.0,401.0,401.0,1.055,1.083,64,16,80,3.273,0,0,3.273,0,0,0,0,0,17,0,0,0,0,,1,,2,1,4,2,4,4,0,0,0,0,0,0,0,"  87,25 "
Batumarmar,Bujur Tengah,"14,51","14,95",30,1.0,17,17,17,17,3.0,8,8.0,1.0,11.0,2.4539999999999997,2.468,3.931,,12.616,3.326,"869,5","3,8",1.007,1.03,1.301,1.242,1.416,1.207,1.033,994.0,813.0,845.0,575,443,331,379,12.616,6.251,6.365,12.616,"98,2",220.0,272.5,264.5,211.0,266.5,259.5,,,269.0,252.0,485.5,2,0,2,0,11,11,0,1,1,0,2,2,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,1,2,0,0,2,2.0,12.0,20.0,250.0,1.0,3.0,3.0,56.0,1.0,3.0,0.0,41.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,59.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1,4,4,4,4,4,4,4,4,4,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2,,x,x,1.428,78,1.506,"94,82",447,1.059,1.506,"29,68", -,0.0,0.0,447.0,447.0,1.032,1.059,65,17,82,3.647,0,0,3.647,1,1,1,0,0,22,0,11,0,0,,1,,2,1,4,2,4,4,0,0,0,0,0,1,0,"  98,21 "
Batumarmar,Bujur Timur,"15,14","15,60",16,1.0,22,22,22,22,0.0,8,8.0,1.0,11.0,2.4539999999999997,2.468,3.931,,14.519,3.401,"959,0","4,3",1.119,1.2,1.645,1.315,1.464,1.278,1.3,1.073,893.0,960.0,669,541,435,627,14.519,7.098,7.421,14.519,"95,6",220.0,272.5,264.5,211.0,266.5,259.5,,,269.0,252.0,485.5,4,2,6,0,7,7,0,2,2,0,3,3,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,2,2,0,2,4.0,24.0,41.0,377.0,0.0,0.0,0.0,0.0,2.0,6.0,16.0,113.0,0.0,0.0,0.0,0.0,2.0,6.0,5.0,62.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,4,4,1,4,4,1,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2,,x,x,1.461,76,1.537,"95,06",555,982.0,1.537,"36,11", -,0.0,0.0,555.0,555.0,957.0,982.0,65,15,80,3.249,0,0,3.249,0,1,1,0,0,12,0,8,0,0,,1,,2,1,3,1,4,4,0,0,0,0,0,0,0,"  96,13 "
Batumarmar,Ponjanan Timur,"7,40","7,62",27,1.0,15,15,15,17,0.0,7,7.0,1.0,7.0,2.4539999999999997,2.468,3.931,,8.788,2.131,"1.187,6","4,1",575.0,627.0,721.0,655.0,781.0,769.0,840.0,819.0,760.0,635.0,471,395,285,455,8.788,4.381,4.407,8.788,"99,4",220.0,272.5,264.5,211.0,266.5,259.5,,,269.0,252.0,485.5,2,0,2,0,3,3,0,2,2,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,1,1,1,2,0,0,0,2.0,14.0,17.0,298.0,0.0,0.0,0.0,0.0,2.0,13.0,26.0,283.0,0.0,0.0,0.0,0.0,1.0,1.0,10.0,44.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2,x,x,x,681.0,54,735.0,"92,65",162,523.0,685.0,"23,65", -,0.0,0.0,162.0,162.0,511.0,523.0,50,9,59,2.563,0,0,2.563,0,0,0,0,0,41,0,4,0,0,,1,,2,1,3,1,4,4,0,0,0,0,0,0,0,"  98,67 "
Batumarmar,Ponjanan Barat,"6,01","6,19",26,1.0,13,13,13,13,1.0,6,6.0,1.0,7.0,2.4539999999999997,2.468,3.931,,5.872,1.452,"977,0","4,0",459.0,448.0,691.0,543.0,453.0,512.0,561.0,431.0,413.0,449.0,264,234,181,233,5.872,2.899,2.973,5.872,"97,5",220.0,272.5,264.5,211.0,266.5,259.5,,,269.0,252.0,485.5,2,0,2,0,3,3,0,0,0,0,2,2,0,0,0,0,2,2,0,0,0,0,0,0,1,1,1,1,2,0,2,2,2.0,12.0,16.0,178.0,0.0,0.0,0.0,0.0,1.0,3.0,7.5,53.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,17.5,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1,4,4,4,4,4,4,4,4,4,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2,x,,x,508.0,52,560.0,"90,71",115,395.0,510.0,"22,55", -,0.0,0.0,115.0,115.0,377.0,395.0,46,8,54,1.633,0,0,1.633,0,0,0,0,1,34,0,6,0,0,,1,,2,0,4,2,4,4,0,0,0,0,0,0,0,"  96,75 "
Batumarmar,Lesong Laok,"4,28","4,41",18,1.0,20,20,20,20,0.0,4,4.0,1.0,7.0,2.4539999999999997,2.468,3.931,,2.897,950.0,"676,9","3,0",144.0,159.0,257.0,214.0,282.0,234.0,281.0,311.0,199.0,262.0,195,145,87,127,2.897,1.434,1.463,2.897,"98,0",220.0,272.5,264.5,211.0,266.5,259.5,,,269.0,252.0,485.5,2,0,2,0,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,2,2,0,2,2.0,11.0,17.0,141.0,0.0,0.0,0.0,0.0,1.0,3.0,7.5,53.0,0.0,0.0,0.0,0.0,1.0,4.0,17.0,122.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,4,4,4,4,4,4,4,4,4,4,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2,,x,x,413.0,37,450.0,"91,78",111,339.0,450.0,"24,67", -,0.0,0.0,111.0,111.0,330.0,339.0,39,7,46,1.432,0,0,1.432,0,0,0,0,0,14,0,1,0,0,,1,,2,0,4,2,4,4,0,0,0,0,0,0,0,"  97,64 "
Batumarmar,Bangsereh,"6,05","6,23",25,1.0,10,10,10,10,0.0,7,7.0,1.0,7.0,2.4539999999999997,2.468,3.931,,4.616,1.459,"763,0","3,2",325.0,357.0,298.0,229.0,410.0,420.0,432.0,425.0,384.0,345.0,340,206,208,237,4.616,2.238,2.378,4.616,"94,1",220.0,272.5,264.5,211.0,266.5,259.5,,,269.0,252.0,485.5,2,1,3,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2.0,12.0,18.0,262.0,1.0,5.0,3.0,49.0,1.0,3.0,7.5,53.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,17.5,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2,,,x,544.0,54,598.0,"90,97",180,418.0,598.0,"30,10",54,0.0,0.0,126.0,180.0,408.0,418.0,42,11,53,1.763,0,0,1.763,0,0,0,0,0,16,0,4,0,0,,1,,2,1,4,1,4,4,0,0,0,0,0,0,0,"  96,09 "
Batumarmar,Blaban,"3,99","4,11",22,1.0,3,3,45,3,0.0,12,12.0,1.0,7.0,2.4539999999999997,2.468,3.931,,8.175,1.954,"2.048,9","4,2",590.0,621.0,579.0,487.0,529.0,642.0,710.0,824.0,679.0,758.0,543,471,319,423,8.175,3.979,4.196,8.175,"94,8",220.0,272.5,264.5,211.0,266.5,259.5,,,269.0,252.0,485.5,3,1,4,0,4,4,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,2,2,0,2,3.0,18.0,34.0,301.0,1.0,9.0,9.0,68.0,1.0,3.0,7.5,53.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,35.0,0.0,0.0,0.0,1.0, -, -,0.0,0.0,0.0,1.0,2.0, -,0.0,0.0,4,4,1,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2,,,x,337.0,67,404.0,"83,42",88,316.0,404.0,"21,78",25,0.0,0.0,63.0,88.0,302.0,316.0,47,13,60,2.663,0,0,2.663,0,0,0,0,1,52,0,4,0,0,,1,,2,1,3,2,4,4,0,2,0,0,0,1,0,"  99,17 "
Batumarmar,Tamberu,"0,15","0,15",10,1.0,1,1,45,1,0.0,2,2.0,1.0,7.0,2.4539999999999997,2.468,3.931,,2.115,501.0,"14.100,0","4,2",145.0,195.0,183.0,196.0,174.0,153.0,151.0,130.0,121.0,138.0,119,122,136,152,2.115,1.007,1.108,2.115,"90,9",220.0,272.5,264.5,211.0,266.5,259.5,,,269.0,252.0,485.5,2,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2.0,15.0,21.0,437.0,0.0,0.0,0.0,0.0,1.0,5.0,8.0,98.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,17.5,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,4,4,4,4,4,4,4,4,4,4,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2,x,,,13.0,25,38.0,,0,38.0,38.0,"0,00", -,0.0,0.0,25.0,71.5,38.0,38.0,12,6,18,1.236,0,0,1.236,1,0,0,1,2,17,0,9,0,0,,1,,2,0,4,2,1,4,0,0,0,0,0,0,0,"  93,93 "
